開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
槍殺	ceong1 sad3	
槍手	ceong1 saw2	
槍聲	ceong1 senk1	
昌盛	ceong1 senk6	
槍傷	ceong1 seong1	
槍托	ceong1 tog3	
槍膛	ceong1 tong4	
窗帷	ceong1 way4	
鯧魚	ceong1 yeu4	
搶奪	ceong2 deud6	
搶翻	ceong2 fan1	搶回
搶匪	ceong2 fey2	
搶救	ceong2 gaw3	
搶鏡頭	ceong2 geng3 taw4	
搶劫	ceong2 gib3	
搶劫犯	ceong2 gib3 fan2	
搶攻	ceong2 gonk1	
搶光	ceong2 guong1	
搶去	ceong2 hoy3	
搶走	ceong2 jaw2	
搶佔	ceong2 jim3	
搶購	ceong2 kaw3	
搶購一空	ceong2 kaw3 yat1 honk1	
搶掠	ceong2 leog6	
搶眼	ceong2 ngan5	
搶眼	ceong2 ngan5	顯眼
搶案	ceong2 on3	
搶修	ceong2 saw1	
搶手	ceong2 saw2	
搶手	ceong2 saw2	暢銷
搶手貨	ceong2 saw2 fo3	熱門貨，暢銷貨
搶上風	ceong2 seong6 fonk1	
搶先	ceong2 sin1	
搶先一步	ceong2 sin1 yat1 bow6	
搶灘	ceong2 tan1	
搶人	ceong2 yant4	
唱	ceong3	胡說，批評，貶損，背後議論，到處說某人的壞話
暢	ceong3	破開
暢錢	ceong3 cin2	找零錢給別人
唱碟	ceong3 dib2	專輯，唱片，音樂專輯
倡導	ceong3 dow6	
倡導者	ceong3 dow6 je2	
唱反調	ceong3 fan2 diu6	
唱歌	ceong3 go1	
唱高調	ceong3 gow1 diu6	
唱K	ceong3 key1	唱卡拉OK
暢唔開	ceong3 m4 hoi1	破不開，找不開
悵惘	ceong3 mong5	
唱片	ceong3 pin2	
暢散紙	ceong3 san2 ji2	破零票，換零票
唱詩班	ceong3 si1 ban1	
暢銷	ceong3 siu1	
暢銷書	ceong3 siu1 seu1	
唱衰	ceong3 soy1	到處說人壞話，到處說别人的不是，到處去詆毀別人，背後議論他人
唱衰佢	ceong3 soy1 koy5	到處說他的不是，到處說他的壞話，到處詆毀他
倡議	ceong3 yi5	
倡言	ceong3 yin4	
牆	ceong4	牆壁，牆
長板凳	ceong4 ban2 dank3	
牆壁	ceong4 bek1	
長柄	ceong4 beng3	
長臂猿	ceong4 bey3 yeun4	
詳備	ceong4 bey6	
長波	ceong4 bo1	
詳查	ceong4 ca4	
長程	ceong4 cenk4	
詳情	ceong4 cenk4	
長程飛彈	ceong4 cenk4 fey1 dan6	
長槍	ceong4 ceong1	
長存	ceong4 ceun4	
長春藤	ceong4 cont1 tank4	
長達	ceong4 dad6	
長凳	ceong4 dank3	
長笛	ceong4 deg6	
長短	ceong4 deun2	
長度	ceong4 dow6	
腸道	ceong4 dow6	
長方形	ceong4 fong1 yenk4	
長褲	ceong4 fu3	
長假	ceong4 ga3	
長久	ceong4 gaw2	
長頸鹿	ceong4 geng2 lok6	
長徑	ceong4 genk3	
長劍	ceong4 gim3	
牆旮旯	ceong4 go1 lo1	
長江	ceong4 gong1	
長江後浪推前浪	ceong4 gong1 haw6 long6 toy1 cin4 long6	
腸管	ceong4 gun2	
場合	ceong4 hab6	
長氣	ceong4 hey3	囉唆，健談，嘮叨，絮叨
長氣袋	ceong4 hey3 doi6	很囉嗦的人，嘮叨不休的人
長吁短歎	ceong4 hoy1 deun2 tan3	
長袖	ceong4 jaw6	
長征	ceong4 jenk1	
長征軍	ceong4 jenk1 guant1	
詳盡	ceong4 jont6	
長期	ceong4 key4	
長期投資	ceong4 key4 taw4 ji1	
長裙	ceong4 kuant4	
詳略	ceong4 leog6	
長襪	ceong4 mat6	
長矛	ceong4 mau4	
長命	ceong4 menk6	
薔薇	ceong4 mey4	
長尾	ceong4 mey5	
長眠	ceong4 min4	
場面	ceong4 min6	
長年	ceong4 nin4	
長跑	ceong4 pau2	
長篇	ceong4 pin1	
長篇大論	ceong4 pin1 dai6 lont6	
長篇小說	ceong4 pin1 siu2 seud3	
長袍	ceong4 pow4	
長袍馬褂	ceong4 pow4 ma5 gua3	
長生不老	ceong4 sank1 bat1 low5	
詳實	ceong4 sat6	
翔實	ceong4 sat6	
長壽	ceong4 saw6	
詳細	ceong4 say3	
長射程	ceong4 se6 cenk4	
詳悉	ceong4 sek1	
場所	ceong4 so2	
詳述	ceong4 sot6	
長鬚鯨	ceong4 sow1 kenk4	
祥瑞	ceong4 soy6	
長歎	ceong4 tan3	
長歎一聲	ceong4 tan3 yat1 senk1	
長條	ceong4 tiu4	
長條形	ceong4 tiu4 yenk4	
長統靴	ceong4 tonk2 heo1	
長統襪	ceong4 tonk2 mat6	
長途跋涉	ceong4 tow4 bat6 sib3	
長途電話	ceong4 tow4 din6 wa2	
長途飛行	ceong4 tow4 fey1 hank4	
長途旅行	ceong4 tow4 loy5 hank4	
長話短說	ceong4 wa2 deun2 seud3	
祥雲	ceong4 want4	
腸胃	ceong4 way6	
腸胃炎	ceong4 way6 yim4	
長揖	ceong4 yap1	
長形	ceong4 yenk4	
長圓	ceong4 yeun4	
長遠	ceong4 yeun5	
長椅	ceong4 yi2	
腸炎	ceong4 yim4	
櫥櫃	ceu1 guay6	
貯藏	ceu2 cong4	
處所	ceu3 so2	
櫥窗	ceu4 ceong1	
廚房	ceu4 fong2	
廚師	ceu4 si1	
儲備	ceu5 bey6	
儲備量	ceu5 bey6 leong6	
儲存	ceu5 ceun4	
儲存庫	ceu5 ceun4 fu3	
儲存器	ceu5 ceun4 hey3	
儲存區	ceu5 ceun4 koy1	
儲存量	ceu5 ceun4 leong6	
儲存室	ceu5 ceun4 sat1	
儲蓄	ceu5 cok1	
儲蓄存款	ceu5 cok1 ceun4 fun2	
儲蓄金	ceu5 cok1 gamp1	
儲蓄機構	ceu5 cok1 gey1 kaw3	
儲蓄銀行	ceu5 cok1 ngant4 hong4	
儲藏	ceu5 cong4	
儲藏量	ceu5 cong4 leong6	
儲藏室	ceu5 cong4 sat1	
儲藏所	ceu5 cong4 so2	
柱躉	ceu5 dant2	柱石
儲電量	ceu5 din6 leong6	
處分	ceu5 fant1	
處罰	ceu5 fat6	
儲金	ceu5 gamp1	
儲君	ceu5 guant1	
曙光	ceu5 guong1	
曙曦	ceu5 hey1	
佇立	ceu5 lab6	
儲量	ceu5 leong6	
處理	ceu5 ley5	
署名	ceu5 menk4	
儲水	ceu5 soy2	
儲水量	ceu5 soy2 leong6	
儲位	ceu5 way6	
踅身離去	ceud3 sant1 ley4 hoy3	
穿煲	ceun1 bow1	暴露，兜底兒，露餡兒
穿插	ceun1 cab3	
村夫	ceun1 fu1	
村婦	ceun1 fu5	
穿孔機	ceun1 honk2 gey1	
村鎮	ceun1 jant3	
穿著	ceun1 jeog3	
村長	ceun1 jeong2	
穿咗窿	ceun1 jo2 lonk1	穿了孔
村莊	ceun1 jong1	
川流不息	ceun1 law4 bat1 sek1	
村里	ceun1 ley5	
村落	ceun1 log6	
村民	ceun1 mant4	
村女	ceun1 noy5	
村舍	ceun1 se3	
穿梭	ceun1 so1	
穿梭機	ceun1 so1 gey1	航天飛機，太空梭
村人	ceun1 yant4	
忖度	ceun2 dow6	
喘氣	ceun2 hey3	
喘息	ceun2 sek1	
串	ceun3	拼
串	ceun3	囂張
寸步	ceun3 bow6	
寸步不離	ceun3 bow6 bat1 ley4	
寸步不讓	ceun3 bow6 bat1 yeong6	
寸步難行	ceun3 bow6 nan4 hang4	
寸步難移	ceun3 bow6 nan4 yi4	
寸腸	ceun3 ceong4	
寸長	ceun3 ceong4	
竄出	ceun3 cot1	
寸草	ceun3 cow2	
寸草不留	ceun3 cow2 bat1 law4	
寸草不生	ceun3 cow2 bat1 sank1	
寸草春暉	ceun3 cow2 fay1	
寸斷	ceun3 deun6	
竄改	ceun3 goi2	
串供	ceun3 gonk1	
串仔	ceun3 jay2	流氓，阿飛，不良少年
串聯	ceun3 leun4	
寸縷	ceun3 loy5	
串門	ceun3 mun4	
串女	ceun3 noy2	女流氓，流氓女生
寸心	ceun3 samp1	
寸絲不掛	ceun3 si1 bat1 gua3	
串通	ceun3 tonk1	
寸土	ceun3 tow2	
寸土必爭	ceun3 tow2 bid1 jank1	
寸土寸金	ceun3 tow2 ceun3 gamp1	
竄逃	ceun3 tow4	
寸陰	ceun3 yamp1	
串演	ceun3 yin2	
傳播	ceun4 bo3	
傳播界	ceun4 bo3 gai3	
傳播學	ceun4 bo3 hog6	
傳播媒介	ceun4 bo3 mui4 gai3	
傳播媒體	ceun4 bo3 mui4 tay2	
全部	ceun4 bow6	
存簿	ceun4 bow6	
全稱	ceun4 cenk1	
全程	ceun4 cenk4	
全場	ceun4 ceong4	
存貯	ceun4 ceu2	
存儲	ceun4 ceu5	
存錢	ceun4 cin4	
全速	ceun4 cok1	
全速前進	ceun4 cok1 cin4 jont3	
存取	ceun4 coy2	
傳達	ceun4 dad6	
傳單	ceun4 dan1	
傳遞	ceun4 day6	
存檔	ceun4 dong3	
傳動	ceun4 donk6	
傳動帶	ceun4 donk6 dai3	
傳動裝置	ceun4 donk6 jong1 ji3	
傳動力	ceun4 donk6 lek6	
傳導	ceun4 dow6	
傳導性	ceun4 dow6 senk3	
傳導體	ceun4 dow6 tay2	
存廢	ceun4 fay3	
存貨	ceun4 fo3	
存貨量	ceun4 fo3 leong6	
存放	ceun4 fong3	
全副	ceun4 fu3	
全副武裝	ceun4 fu3 mow5 jong1	
存款	ceun4 fun2	
存款簿	ceun4 fun2 bow6	
存款單	ceun4 fun2 dan1	
全家	ceun4 ga1	
全家福	ceun4 ga1 fok1	
傳家之寶	ceun4 ga1 ji1 bow2	
傳感器	ceun4 gamp2 hey3	
傳教	ceun4 gau3	
傳教士	ceun4 gau3 si6	
全軍覆沒	ceun4 guant1 fok1 mud6	
全國	ceun4 guog3	
全國各地	ceun4 guog3 gog3 dey6	
全國人民	ceun4 guog3 yant4 mant4	
全校師生	ceun4 hau6 si1 sank1	
傳開	ceun4 hoi1	
全開	ceun4 hoi1	
全集	ceun4 jab6	
傳真	ceun4 jant1	
傳真機	ceun4 jant1 gey1	
全職	ceun4 jek1	
存摺簿	ceun4 jib3 bow2	
存在	ceun4 joi6	
存在主義	ceun4 joi6 jeu2 yi6	
傳宗接代	ceun4 jonk1 jib3 doi6	
傳頌	ceun4 jonk6	
傳頌千古	ceun4 jonk6 cin1 gu2	
全靠	ceun4 kau3	
全球	ceun4 kaw4	
傳球	ceun4 kaw4	
全球化	ceun4 kaw4 fa3	
傳球法	ceun4 kaw4 fad3	
全球性	ceun4 kaw4 senk3	
全權	ceun4 keun4	
全權代表	ceun4 keun4 doi6 biu2	
傳奇	ceun4 key4	
存留	ceun4 law4	
全力	ceun4 lek6	
全力支持	ceun4 lek6 ji1 ci4	
全力以赴	ceun4 lek6 yi5 fu6	
存量	ceun4 leong6	
全壘打	ceun4 loy5 da2	
全民	ceun4 mant4	
傳聞	ceun4 mant4	
全文	ceun4 mant4	
傳問	ceun4 mant6	
全名	ceun4 menk4	
全面	ceun4 min6	
存亡	ceun4 mong4	
傳媒	ceun4 mui4	
全能	ceun4 nank4	
全額	ceun4 ngag6	
全年	ceun4 nin4	
傳遍	ceun4 pin3	
傳票	ceun4 piu3	
全盤	ceun4 pun4	
全盤接受	ceun4 pun4 jib3 saw6	
存心	ceun4 samp1	
全心	ceun4 samp1	
存心不良	ceun4 samp1 bat1 leong4	
全心全意	ceun4 samp1 ceun4 yi3	
全心投入	ceun4 samp1 taw4 yap6	
傳審	ceun4 samp2	
全新	ceun4 sant1	
全身	ceun4 sant1	
全身上下	ceun4 sant1 seong6 ha6	
全身而退	ceun4 sant1 yi4 toy3	
傳神	ceun4 sant4	
全神貫注	ceun4 sant4 gun3 jeu3	
傳授	ceun4 saw6	
傳授法	ceun4 saw6 fad3	
全世界	ceun4 say3 gai3	
詮釋	ceun4 sek1	
全息	ceun4 sek1	
全勝	ceun4 senk3	
全城	ceun4 senk4	
傳承	ceun4 senk4	
全盛	ceun4 senk6	
傳說	ceun4 seud3	
傳說中	ceun4 seud3 jonk1	
傳說人物	ceun4 seud3 yant4 mat6	
全線	ceun4 sin3	
傳銷	ceun4 siu1	
傳送	ceun4 sonk3	
傳訊	ceun4 sont3	
傳信	ceun4 sont3	
傳信鴿	ceun4 sont3 gap3	
泉水	ceun4 soy2	
全體大譁	ceun4 tay2 dai6 wa1	
全體師生	ceun4 tay2 si1 sank1	
傳統	ceun4 tonk2	
傳統教育	ceun4 tonk2 gau3 yok6	
傳統觀念	ceun4 tonk2 gun1 nim6	
全套	ceun4 tow3	
傳話	ceun4 wa2	
傳為佳話	ceun4 way4 gai1 wa2	
全域	ceun4 wek6	
存戶	ceun4 wu6	
存活	ceun4 wud6	
存活率	ceun4 wud6 lot6	
傳喚	ceun4 wun6	
全音	ceun4 yamp1	
全音符	ceun4 yamp1 fu4	
存入	ceun4 yap6	
全日	ceun4 yat6	
全日制	ceun4 yat6 jay3	
痊癒	ceun4 yeu6	
存疑	ceun4 yi4	
傳熱	ceun4 yid6	
傳染	ceun4 yim5	
傳染病	ceun4 yim5 beng6	
傳染性	ceun4 yim5 senk3	
全然	ceun4 yin4	
傳言	ceun4 yin4	
全然不知	ceun4 yin4 bat1 ji1	
全然不同	ceun4 yin4 bat1 tonk4	
黐	ci1	粘，黏，纏
哧哧	ci1 ci1	
黐黐哋	ci1 ci1 dey2	瘋瘋癲癲，神經病
黐筋	ci1 gant1	神經病
鴟鴞	ci1 hiu1	
黐立立	ci1 lap6 lap6	黏黏的
黐脷根	ci1 ley6 gant1	說話有點兒大舌頭，說話含糊不清
黐孖筋	ci1 ma1 gant1	神經病
黐埋一笪	ci1 mai4 yat1 dad3	粘在一塊兒
魑魅	ci1 mey6	
魑魅魍魎	ci1 mey6 mong5 leong5	
黐牙	ci1 nga4	黏牙，塞牙縫
雌性動物	ci1 senk3 donk6 mat6	
黐線	ci1 sin6	神經病，發瘋，神經失常
黐線佬	ci1 sin6 low2	神經漢，瘋子
鴟鵂	ci1 yaw1	
蚩尤	ci1 yaw4	
雌蕊	ci1 yoy5	
褫奪公權	ci2 deud6 gonk1 keun4	
此地無銀三百兩	ci2 dey6 mow4 ngant4 sam1 bag3 leong2	
此風不可長	ci2 fonk1 bat1 ho2 ceong4	
齒垢	ci2 gaw3	
恥骨	ci2 guat1	
此刻	ci2 hak1	
矢口否認	ci2 haw2 faw2 yenk6	
此後	ci2 haw6	
此起彼伏	ci2 hey2 bey2 fok6	
此起彼落	ci2 hey2 bey2 log6	
齒腔	ci2 hong1	
褫職	ci2 jek1	
矢志	ci2 ji3	
矢志不移	ci2 ji3 bat1 yi4	
始作俑者	ci2 jog3 yonk2 je2	
齒狀	ci2 jong6	
始終	ci2 jonk1	
始終不渝	ci2 jonk1 bat1 yeu4	
始祖	ci2 jow2	
齒鯨	ci2 kenk4	
矢量	ci2 leong6	
齒輪	ci2 lont4	
齒輪箱	ci2 lont4 seong1	
此路不通	ci2 low6 bat1 tonk1	
此外	ci2 ngoi6	
此時	ci2 si4	
此時此刻	ci2 si4 ci2 hak1	
齒音	ci2 yamp1	
齒印	ci2 yant3	
此一時彼一時	ci2 yat1 si4 bey2 yat1 si4	
矢如雨下	ci2 yeu4 yeu5 ha6	
恥辱	ci2 yok6	
次被告	ci3 bey6 gow3	
翅膀	ci3 bong2	
次次	ci3 ci3	每次
賜教	ci3 gau3	
刺激	ci3 gek1	
廁紙	ci3 ji2	衛生紙，手紙
次序	ci3 joy6	
廁所	ci3 so2	
刺蝟	ci3 way6	
熾熱	ci3 yid6	
遲	ci4	晚
糍粑	ci4 ba1	
詞不達意	ci4 bat1 dad6 yi6	
慈悲	ci4 bey1	
詞表	ci4 biu2	
馳騁	ci4 cenk2	
慈祥	ci4 ceong4	
踟躕	ci4 ceu4	
磁帶	ci4 dai3	
臍帶	ci4 dai3	
遲啲見	ci4 di1 gin3	再會
遲啲	ci4 did1	晚一點
詞典	ci4 din2	
辭典	ci4 din2	
詞調	ci4 diu6	
持笏	ci4 fat1	
詞鋒	ci4 fonk1	
詞賦	ci4 fu3	
詞庫	ci4 fu3	
匙羹	ci4 gank1	湯匙，羹匙
持久	ci4 gaw2	
詞句	ci4 goy3	
遲吓	ci4 ha5	過些時候，過些日子，再過一段時間
辭行	ci4 hank4	
瓷器	ci4 hey3	
辭職	ci4 jek1	
持續	ci4 jok6	
詞組	ci4 jow2	
遲早	ci4 jow2	早晚，遲早
遲早	ci4 jow2	
詞曲	ci4 kok1	
詞窮	ci4 konk4	
詞類	ci4 loy6	
馳馬	ci4 ma5	
馳名	ci4 menk4	
馳名中外	ci4 menk4 jonk1 ngoi6	
馳名天下	ci4 menk4 tin1 ha6	
詞尾	ci4 mey5	
慈母	ci4 mow5	
馳念	ci4 nim6	
慈愛	ci4 oi3	
詞頻	ci4 pant4	
詞譜	ci4 pow2	
慈心	ci4 samp1	
詞性	ci4 senk3	
詞選	ci4 seun2	
慈善	ci4 sin6	
慈善家	ci4 sin6 ga1	
慈善機構	ci4 sin6 gey1 kaw3	
慈善事業	ci4 sin6 si6 yib6	
慈善活動	ci4 sin6 wud6 donk6	
詞素	ci4 sow3	
詞頭	ci4 taw4	
磁鐵	ci4 tid3	
詞條	ci4 tiu4	
池塘	ci4 tong4	
祠堂	ci4 tong4	
詞韻	ci4 want6	
馳往	ci4 wong5	
詞彙	ci4 wui6	
遲緩	ci4 wun6	
詞音	ci4 yamp1	
詞語	ci4 yeu5	
詞源	ci4 yeun4	
詞義	ci4 yi6	
似	ci5	像
恃	ci5	仗，依仗，仗著
似層層	ci5 cank4 cank4	好像真有其事，很像真的，很像
恃才傲物	ci5 coi4 ngow6 mat6	
似到極	ci5 dow3 gek6	像極了
似乎	ci5 fu4	
似足	ci5 jok1	很像，像極了，十分像
始終不變	ci5 jonk1 bat1 bin3	
始終如一	ci5 jonk1 yeu4 yat1	
恃強欺弱	ci5 keong4 hey1 yeog6	
恃強凌弱	ci5 keong4 lenk4 yeog6	
恃老賣老	ci5 low5 mai6 low5	倚老賣老
似模似樣	ci5 mow4 ci5 yeong6	像個樣子，很相象，像模像樣的
似樣	ci5 yeong6	像樣，像話
cheap	cib1	低賤，沒有身份，便宜
cheap嘢	cib1 ye5	便宜貨
妾侍	cib3 si6	小老婆
設備	cid3 bey6	
切磋	cid3 co1	
切菜	cid3 coi3	
切菜刀	cid3 coi3 dow1	
切除	cid3 coy4	
徹底	cid3 day2	
設定	cid3 denk6	
切腹自殺	cid3 fok1 ji6 sad3	
切膚之痛	cid3 fu1 ji1 tonk3	
設計	cid3 gay3	
切忌	cid3 gey6	
切割	cid3 god3	
切割機	cid3 god3 gey1	
切合	cid3 hab6	
切合實際	cid3 hab6 sat6 jay3	
切合需要	cid3 hab6 soy1 yiu3	
切口	cid3 haw2	
切開	cid3 hoi1	
撤離	cid3 ley4	
切勿	cid3 mat6	
切麵	cid3 min6	
切莫	cid3 mog6	
切奶	cid3 nai5	斷奶
切片	cid3 pin3	
切身	cid3 sant1	
切身經驗	cid3 sant1 genk1 yim6	
切身利益	cid3 sant1 ley6 yek1	
切實	cid3 sat6	
切實可行	cid3 sat6 ho2 hank4	
切實有效	cid3 sat6 yaw5 hau6	
切削	cid3 seog3	
切削速度	cid3 seog3 cok1 dow6	
切削力	cid3 seog3 lek6	
切削用量	cid3 seog3 yonk6 leong6	
撤銷	cid3 siu1	
切餸	cid3 sonk3	切菜
切碎	cid3 soy3	
切題	cid3 tay4	
切斷	cid3 teun5	
撤退	cid3 toy3	
切換	cid3 wun6	
切入	cid3 yap6	
切肉	cid3 yok6	
切肉刀	cid3 yok6 dow1	
簽	cim1	剔
簽署	cim1 ceu5	
纖巧	cim1 hau2	
簽證	cim1 jenk3	
簽注	cim1 jeu3	
纖指	cim1 ji2	
簽名	cim1 menk4	
殲滅	cim1 mid6	
簽牙	cim1 nga4	剔牙縫
纖手	cim1 saw2	
纖細	cim1 say3	
纖維	cim1 way4	
纖維板	cim1 way4 ban2	
纖維工業	cim1 way4 gonk1 yib6	
纖維素	cim1 way4 sow3	
纖纖玉手	cim1 way4 yok6 saw2	
簽約	cim1 yeog3	
纖弱	cim1 yeog6	
纖腰	cim1 yiu1	
諂媚	cim2 mey6	
諂諛	cim2 yeu4	
塹壕	cim3 how4	
僭越	cim3 yeud6	
撍	cim4	抽，拔，抽取，拔出
撍出嚟	cim4 cot1 ley4	抽出來
撍豬毛	cim4 jeu1 mow4	拔豬毛
潛在	cim4 joi6	
潛力	cim4 lek6	
潛水	cim4 soy2	
潛水艇	cim4 soy2 teng5	
潛意識	cim4 yi3 sek1	
僭建	cim5 gin3	違章建築
千百萬	cin1 bag3 man6	
千變萬化	cin1 bin3 man6 fa3	
千層糕	cin1 cank4 gow1	
千秋	cin1 caw1	鞦韆
千千萬萬	cin1 cin1 man6 man6	
千瘡百孔	cin1 cong1 bag3 honk2	
千叮萬囑	cin1 denk1 man6 jok1	
千刀萬剮	cin1 dow1 man6 wa2	
千方百計	cin1 fong1 bag3 gay3	
千呼萬喚	cin1 fu1 man6 wun6	
千夫所指	cin1 fu1 so2 ji2	
千家萬戶	cin1 ga1 man6 wu6	
千金小姐	cin1 gamp1 siu2 je2	
千斤	cin1 gant1	
千斤重擔	cin1 gant1 conk5 dam1	
千嬌百媚	cin1 giu1 bag3 mey6	
千古	cin1 gu2	
千古恨	cin1 gu2 hant6	
千古遺恨	cin1 gu2 way4 hant6	
千軍萬馬	cin1 guant1 man6 ma5	
千鈞一髮	cin1 guant1 yat1 fad3	
千克	cin1 hak1	
千禧	cin1 hey1	
千禧蟲	cin1 hey1 conk4	
千禧年	cin1 hey1 nin4	
千紅萬紫	cin1 honk4 man6 ji2	
千真萬確	cin1 jant1 man6 kog3	
千字文	cin1 ji6 mant4	
千載難逢	cin1 joi2 nan4 fonk4	
千載一時	cin1 joi2 yat1 si4	
千祈	cin1 key4	千萬
千奇百怪	cin1 key4 bag3 guai3	
千祈唔好	cin1 key4 mow2	千萬不要，千萬別
千里馬	cin1 ley5 ma5	
千里目	cin1 ley5 mok6	
千里眼	cin1 ley5 ngan5	
千里送鵝毛	cin1 ley5 sonk3 ngo4 mow4	
千里迢迢	cin1 ley5 tiu4 tiu4	
千慮一得	cin1 loy6 yat1 dak1	
千慮一失	cin1 loy6 yat1 sat1	
阡陌	cin1 mak6	
千萬	cin1 man6	
千萬富翁	cin1 man6 fu3 yonk1	
千米	cin1 may5	
千面人	cin1 min6 yant4	
千瓦	cin1 nga5	
千篇一律	cin1 pin1 yat1 lot6	
千山萬水	cin1 san1 man5 soy2	
千辛萬苦	cin1 sant1 man6 fu2	
千絲萬縷	cin1 si1 man6 loy5	
遷入	cin1 yap6	
千億	cin1 yek1	
千言萬語	cin1 yin4 man6 yeu5	
淺薄	cin2 bog6	
淺淺	cin2 cin2	
淺淡	cin2 dam6	
淺耕	cin2 gang1	
淺見	cin2 gin3	
淺顯	cin2 hin2	
淺顯易懂	cin2 hin2 yi6 donk2	
淺海	cin2 hoi2	
淺斟低唱	cin2 jamp1 day1 ceong3	
淺紫	cin2 ji2	
淺紫色	cin2 ji2 sek1	
淺藍	cin2 lam4	
淺藍色	cin2 lam4 sek1	
淺陋	cin2 law6	
淺綠	cin2 lok6	
淺綠色	cin2 lok6 sek1	
淺色	cin2 sek1	
淺嘗輒止	cin2 seong4 jib3 ji2	
淺笑	cin2 siu3	
淺水	cin2 soy2	
淺水灣	cin2 soy2 wan1	
淺灘	cin2 tan1	
淺易	cin2 yi6	
前便	cin4 bin6	前面，前邊
前輩	cin4 bui3	
前塵	cin4 cant4	
前妻	cin4 cay1	
前車之覆，後車之鑑	cin4 ce1 ji1 fok6 haw6 ce1 ji1 gam3	
前車之鑑	cin4 ce1 ji1 gam3	
前清	cin4 cenk1	
前程	cin4 cenk4	
前程似錦	cin4 cenk4 ci5 gamp2	
前程萬里	cin4 cenk4 man6 ley5	
前場	cin4 ceong4	
前次	cin4 ci3	
前前後後	cin4 cin4 haw6 haw6	
前菜	cin4 coi3	
前艙	cin4 cong1	
前端	cin4 deun1	
前段	cin4 deun6	
前科	cin4 fo1	
前方	cin4 fong1	
前鋒	cin4 fonk1	
前夫	cin4 fu1	
前呼後擁	cin4 fu1 haw6 yonk2	
前仆后繼	cin4 fu6 haw6 gay3	
前仆後繼	cin4 fu6 haw6 gay3	
前景	cin4 genk2	
纏腳	cin4 geog3	
前嗰輪	cin4 go2 lont4	前陣子
前嗰排	cin4 go2 pai2	前些日子
前功盡棄	cin4 gonk1 jont6 hey3	
前後	cin4 haw6	
前后	cin4 haw6	
前後夾攻	cin4 haw6 gab3 gonk1	
前後左右	cin4 haw6 jo2 yaw6	
前漢	cin4 hon3	
前奏	cin4 jaw3	
前奏曲	cin4 jaw3 kok1	
前者	cin4 je2	
前夕	cin4 jek6	
纏住	cin4 jeu6	
前肢	cin4 ji1	
前置詞	cin4 ji3 ci4	
前瞻	cin4 jim1	
纏足	cin4 jok1	
前總統	cin4 jonk2 tonk2	
前進	cin4 jont3	
前傾	cin4 kenk1	
前期	cin4 key4	
前期損益	cin4 key4 seun2 yek1	
前驅	cin4 koy1	
前例	cin4 lay6	
前列腺	cin4 lid6 sin3	
前來	cin4 loi4	
前文	cin4 mant4	
纏綿	cin4 min4	
纏綿悱惻	cin4 min4 fey2 cak1	
前面	cin4 min6	
前無古人，後無來者	cin4 mow4 gu2 yant4 haw6 mow4 loi4 je2	
前門	cin4 mun4	
前男友	cin4 nam4 yaw5	
錢罌	cin4 ngang1	撲滿
前腦	cin4 now5	
前女友	cin4 noy5 yaw5	
前排	cin4 pai4	
前身	cin4 sant1	
前世	cin4 say3	
前世唔修	cin4 say3 m4 saw1	前生缺乏修行，今生受到報應
前成員	cin4 senk4 yeun4	
前思後想	cin4 si1 haw6 seong2	
前事不忘，後事之師	cin4 si6 bat1 mong4 haw6 si6 ji1 si1	
前線	cin4 sin3	
前兆	cin4 siu6	
前所未見	cin4 so2 mey6 gin3	
前所未有	cin4 so2 mey6 yaw5	
前蹄	cin4 tay4	
前提	cin4 tay4	
前廳	cin4 tenk1	
前台	cin4 toi4	
前途	cin4 tow4	
前衛	cin4 way6	
前往	cin4 wong5	
前因	cin4 yant1	
前因後果	cin4 yant1 haw6 guo2	
前人	cin4 yant4	
前人種樹，後人乘涼	cin4 yant4 jonk2 seu6 haw6 yant4 senk4 leong4	
前日	cin4 yat6	前天
前仰後合	cin4 yeong5 haw6 hab6	
前緣	cin4 yeun4	
前園	cin4 yeun4	
前院	cin4 yeun6	
前言	cin4 yin4	
前言不對後語	cin4 yin4 bat1 doy3 haw6 yeu5	
纏繞	cin4 yiu2	
踐踏	cin5 dab6	
前後矛盾	cin5 haw6 mau4 tont5	
前額	cin5 ngag6	
超重	ciu1 conk5	
超導體	ciu1 dow6 tay2	
超乎	ciu1 fu4	
超過	ciu1 guo3	
超自然	ciu1 ji6 yin4	
超級	ciu1 kap1	
超級市場	ciu1 kap1 si5 ceong4	
超新星	ciu1 sant1 senk1	
超筍價	ciu1 sont2 ga3	特價
超人	ciu1 yant4	
超人氣	ciu1 yant4 hey3	
超人一等	ciu1 yant4 yat1 dank2	
超越	ciu1 yeud6	
超現實	ciu1 yin6 sat6	
肖像	ciu3 jeong6	
俏麗	ciu3 lay6	
俏皮	ciu3 pey4	
朝代	ciu4 doi6	
樵夫	ciu4 fu1	
朝覲	ciu4 gant3	
潮州粥	ciu4 jaw1 jok1	稀飯
潮汐	ciu4 jek6	
潮流	ciu4 law4	
潮濕	ciu4 sap1	
