開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
班師回朝	ban1 si1 wui4 ciu4	
板	ban2	板子
版本	ban2 bun2	
板凳	ban2 dank3	
板塊	ban2 fai3	
板障	ban2 jeong3	板牆，板壁
版權	ban2 keun4	
版權所有	ban2 keun4 so2 yaw5	
扮煮飯仔	ban3 jeu2 fan6 jay2	過家家，玩過家家，扮家家酒
扮	ban6	裝，裝作
湴	ban6	爛泥，稀泥
扮得意	ban6 dak1 yi3	裝可愛
扮代表	ban6 doi6 biu2	裝模作樣
辦法	ban6 fad3	
辦公室	ban6 gonk1 sat1	
扮豬食老虎	ban6 jeu1 sek6 low5 fu2	佯裝愚蠢，裝瘋賣傻來佔便宜
扮靚	ban6 leng3	打扮，打扮得漂漂亮亮
扮晒嘢	ban6 sai3 ye5	裝模作樣
辦事	ban6 si6	
辦事處	ban6 si6 ceu3	
扮聽唔到	ban6 teng1 m4 dow2	裝作沒聽見
辦妥	ban6 to2	
扮嘢	ban6 ye5	裝模作樣，裝樣子，裝蒜，出風頭
扮英雄	ban6 yenk1 honk4	充英雄
扮演	ban6 yin2	
蹦蹦跳跳	bang6 bang6 tiu3 tiu3	
繃帶	bang6 dai3	
繃緊	bang6 gant2	
崩	bank1	破，缺
崩	bank1	分錢
崩口	bank1 haw2	豁嘴，兔唇
崩口碗	bank1 haw2 wun2	缺口碗
崩口人忌崩口碗	bank1 haw2 yant4 gey6 bank1 haw2 wun2	當著矮子別說短話
崩仔	bank1 jay2	朋克，龐克
崩裝	bank1 jong1	莫西干頭
崩潰	bank1 kui2	
崩牙	bank1 nga4	缺齒，缺牙
崩牙	bank1 nga4	缺齒
彬彬有禮	bant1 bant1 yaw5 lay5	
奔波	bant1 bo1	
奔流	bant1 bo1	
奔馳	bant1 ci4	
繽紛	bant1 fant1	
奔放	bant1 fong3	
奔赴	bant1 fu6	
賓館	bant1 gun2	
奔走	bant1 jaw2	
賓仔	bant1 jay2	菲律賓少年
檳榔	bant1 long4	
檳榔汁	bant1 long4 jap1	
賓佬	bant1 low2	菲律賓人
奔馬	bant1 ma5	
奔命	bant1 menk6	
賓妹	bant1 mui1	菲律賓少女；菲傭，菲籍女傭
奔跑	bant1 pau2	
賓婆	bant1 po2	菲律賓人
奔喪	bant1 song1	
奔騰	bant1 tank4	
奔逃	bant1 tow4	
奔躍	bant1 yeog6	
品茶	bant2 ca4	
品德	bant2 dak1	
品格	bant2 gag3	
品格高尚	bant2 gag3 gow1 seong6	
品管	bant2 gun2	
品行	bant2 hank6	
品學	bant2 hog6	
品學兼優	bant2 hog6 gim1 yaw1	
品紅	bant2 honk4	
品質	bant2 jat1	
品質管制	bant2 jat1 gun2 jay3	
品種	bant2 jonk2	
品種改良	bant2 jonk2 goi2 leong4	
品級	bant2 kap1	
品藍	bant2 lam4	
品綠	bant2 lok6	
品類	bant2 loy6	
品貌	bant2 mau6	
品貌出眾	bant2 mau6 cot1 jonk3	
品貌雙全	bant2 mau6 seong1 ceun4	
品茗	bant2 menk5	
品味	bant2 mey6	
品目	bant2 mok6	
品牌	bant2 pai4	
品評	bant2 penk4	
品性	bant2 senk3	
