开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
班师回朝	ban1 si1 wui4 ciu4	
板	ban2	板子
版本	ban2 bun2	
板凳	ban2 dank3	
板块	ban2 fai3	
板障	ban2 jeong3	板墙，板壁
版权	ban2 keun4	
版权所有	ban2 keun4 so2 yaw5	
扮煮饭仔	ban3 jeu2 fan6 jay2	过家家，玩过家家，扮家家酒
扮	ban6	装，装作
湴	ban6	烂泥，稀泥
扮得意	ban6 dak1 yi3	装可爱
扮代表	ban6 doi6 biu2	装模作样
办法	ban6 fad3	
办公室	ban6 gonk1 sat1	
扮猪食老虎	ban6 jeu1 sek6 low5 fu2	佯装愚蠢，装疯卖傻来占便宜
扮靓	ban6 leng3	打扮，打扮得漂漂亮亮
扮晒嘢	ban6 sai3 ye5	装模作样
办事	ban6 si6	
办事处	ban6 si6 ceu3	
扮听唔到	ban6 teng1 m4 dow2	装作没听见
办妥	ban6 to2	
扮嘢	ban6 ye5	装模作样，装样子，装蒜，出风头
扮英雄	ban6 yenk1 honk4	充英雄
扮演	ban6 yin2	
蹦蹦跳跳	bang6 bang6 tiu3 tiu3	
绷带	bang6 dai3	
绷紧	bang6 gant2	
崩	bank1	破，缺
崩	bank1	分钱
崩口	bank1 haw2	豁嘴，兔唇
崩口碗	bank1 haw2 wun2	缺口碗
崩口人忌崩口碗	bank1 haw2 yant4 gey6 bank1 haw2 wun2	当着矮子别说短话
崩仔	bank1 jay2	朋克，庞克
崩装	bank1 jong1	莫西干头
崩溃	bank1 kui2	
崩牙	bank1 nga4	缺齿，缺牙
崩牙	bank1 nga4	缺齿
彬彬有礼	bant1 bant1 yaw5 lay5	
奔波	bant1 bo1	
奔流	bant1 bo1	
奔驰	bant1 ci4	
缤纷	bant1 fant1	
奔放	bant1 fong3	
奔赴	bant1 fu6	
宾馆	bant1 gun2	
