开放粤语字典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［粤语拼音］
蒻	蒻	yeog6
若	若	yeog6
跃	躍	yeog6
谑	謔	yeog6
钥	鑰	yeog6
虐	虐	yeog6
药	藥	yeog6
疟	瘧	yeog6
鸯	鴦	yeong1
秧	秧	yeong1
央	央	yeong1
殃	殃	yeong1
鞅	鞅	yeong2
飏	颺	yeong4
蘘	蘘	yeong4
疡	瘍	yeong4
禳	禳	yeong4
穰	穰	yeong4
瀼	瀼	yeong4
徉	徉	yeong4
杨	楊	yeong4
洋	洋	yeong4
旸	暘	yeong4
佯	佯	yeong4
扬	揚	yeong4
阳	陽	yeong4
羊	羊	yeong4
烊	烊	yeong4
养	養	yeong5
攘	攘	yeong5
仰	仰	yeong5
氧	氧	yeong5
痒	癢	yeong5
嚷	嚷	yeong5/yeong6
漾	漾	yeong6
让	讓	yeong6
样	樣	yeong6
恙	恙	yeong6
壤	壤	yeong6
酿	釀	yeong6
淤	淤	yeu1
迂	迂	yeu1
于	於	yeu1
瘀	瘀	yeu2
伛	傴	yeu2
妪	嫗	yeu2
酗	酗	yeu3/hoy2/hoy3
逾	踰	yeu4
愚	愚	yeu4
妤	妤	yeu4
愉	愉	yeu4
瑜	瑜	yeu4
濡	濡	yeu4
臾	臾	yeu4
逾	逾	yeu4
禺	禺	yeu4
余	餘	yeu4
榆	榆	yeu4
蝓	蝓	yeu4
于	于	yeu4
蠕	蠕	yeu4
余	余	yeu4
欤	歟	yeu4
鱼	魚	yeu4
盂	盂	yeu4
谀	諛	yeu4
娱	娛	yeu4
嚅	嚅	yeu4
狳	狳	yeu4
茹	茹	yeu4
儒	儒	yeu4
觎	覦	yeu4
予	予	yeu4
隅	隅	yeu4
萸	萸	yeu4
虞	虞	yeu4
俞	俞	yeu4
如	如	yeu4
揄	揄	yeu4
舆	輿	yeu4
渝	渝	yeu4
竽	竽	yeu4
渔	漁	yeu4
孺	孺	yeu4/yeu6
宇	宇	yeu5
语	語	yeu5
与	與	yeu5
乳	乳	yeu5
禹	禹	yeu5
雨	雨	yeu5
龉	齬	yeu5
圄	圄	yeu5
瑀	瑀	yeu5
羽	羽	yeu5
予	予	yeu5
敔	敔	yeu5
貐	貐	yeu5
汝	汝	yeu5
豫	豫	yeu6
与	與	yeu6
语	語	yeu6
御	禦	yeu6
喻	喻	yeu6
誉	譽	yeu6
谕	諭	yeu6
蓣	蕷	yeu6
遇	遇	yeu6
预	預	yeu6
愈	癒	yeu6
驭	馭	yeu6
愈	愈	yeu6
裕	裕	yeu6
寓	寓	yeu6
御	御	yeu6
吁	籲	yeu6
穴	穴	yeud6
阅	閱	yeud6
钇	釔	yeud6
钺	鉞	yeud6
曰	曰	yeud6
月	月	yeud6
粤	粵	yeud6
悦	悅	yeud6
越	越	yeud6
乙	乙	yeud6/yeud3
蜿	蜿	yeun1
冤	冤	yeun1
鸳	鴛	yeun1
渊	淵	yeun1
鸢	鳶	yeun1
菀	菀	yeun2
宛	宛	yeun2
苑	苑	yeun2
琬	琬	yeun2
婉	婉	yeun2
怨	怨	yeun3
袁	袁	yeun4
纨	紈	yeun4
沅	沅	yeun4
完	完	yeun4
猿	猿	yeun4
原	原	yeun4
悬	懸	yeun4
沿	沿	yeun4
烷	烷	yeun4
圆	圓	yeun4
园	園	yeun4
源	源	yeun4
芫	芫	yeun4
玄	玄	yeun4
员	員	yeun4
元	元	yeun4
缘	緣	yeun4
眩	眩	yeun4
辕	轅	yeun4
铅	鉛	yeun4
丸	丸	yeun4/yeun2
软	軟	yeun5
阮	阮	yeun5
远	遠	yeun5
愿	願	yeun6
院	院	yeun6
媛	媛	yeun6
县	縣	yeun6
炫	炫	yeun6/yeun4
远	遠	yeun6/yeun5
伊	伊	yi1
漪	漪	yi1
衣	衣	yi1
医	醫	yi1
铱	銥	yi1
黟	黟	yi1
猗	猗	yi1
祎	禕	yi1
祎	禕	yi1
依	依	yi1
椅	椅	yi2
绮	綺	yi2
倚	倚	yi2
旖	旖	yi2
齮	齮	yi2
镱	鐿	yi3
薏	薏	yi3
癔	癔	yi3
意	意	yi3
懿	懿	yi3
胰	胰	yi4
蛇	蛇	yi4
眙	眙	yi4
沂	沂	yi4
彝	彞	yi4
咦	咦	yi4
饴	飴	yi4
移	移	yi4
怡	怡	yi4
痍	痍	yi4
儿	兒	yi4
贻	貽	yi4
疑	疑	yi4
夷	夷	yi4
宜	宜	yi4
姨	姨	yi4
仪	儀	yi4
迤	迤	yi4
而	而	yi4
颐	頤	yi4
谊	誼	yi4
诒	詒	yi4
迩	邇	yi5
尔	爾	yi5
洱	洱	yi5
迤	迤	yi5
拟	擬	yi5
已	已	yi5
耳	耳	yi5
以	以	yi5
矣	矣	yi5
议	議	yi5
二	二	yi6
劓	劓	yi6
异	異	yi6
贰	貳	yi6
肄	肄	yi6
易	易	yi6
义	義	yi6
靥	靨	yib3
页	頁	yib6
业	業	yib6
叶	葉	yib6
烨	燁	yib6
噎	噎	yid3
谒	謁	yid3
咽	咽	yid3
孽	孽	yid6
拽	拽	yid6
热	熱	yid6
臬	臬	yid6/nib6
淹	淹	yim1
阉	閹	yim1
奄	奄	yim1
恹	懨	yim1
腌	醃	yim1/yib3
魇	魘	yim2
掩	掩	yim2
餍	饜	yim3
厌	厭	yim3
炎	炎	yim4
严	嚴	yim4
髯	髯	yim4
蚺	蚺	yim4
嫌	嫌	yim4
阎	閻	yim4
盐	鹽	yim4
闫	閆	yim4
檐	簷	yim4/sim4
苒	苒	yim5
俨	儼	yim5
染	染	yim5
冉	冉	yim5
验	驗	yim6
焰	焰	yim6
艳	艷	yim6
烟	菸	yin1
湮	湮	yin1
焉	焉	yin1
咽	咽	yin1
蔫	蔫	yin1
燕	燕	yin1
嫣	嫣	yin1
鄢	鄢	yin1
阏	閼	yin1
胭	胭	yin1
烟	煙	yin1
演	演	yin2
兖	兗	yin2
堰	堰	yin2
鼹	鼴	yin2
偃	偃	yin2
衍	衍	yin2/hin2
宴	宴	yin3
咽	嚥	yin3
燕	燕	yin3
言	言	yin4
然	然	yin4
延	延	yin4
燃	燃	yin4
贤	賢	yin4
妍	妍	yin4
蜒	蜒	yin4
焉	焉	yin4
舷	舷	yin4
弦	弦	yin4
涎	涎	yin4
研	研	yin4
筵	筵	yin4
彦	彥	yin6
谳	讞	yin6
谚	諺	yin6
唁	唁	yin6
现	現	yin6
砚	硯	yin6
苋	莧	yin6
幺	么	yiu1
腰	腰	yiu1
夭	夭	yiu1
邀	邀	yiu1
吆	吆	yiu1
要	要	yiu1
妖	妖	yiu1
扰	擾	yiu2
夭	夭	yiu2
窈	窈	yiu2
绕	繞	yiu2/yiu5
要	要	yiu3
姚	姚	yiu4
谣	謠	yiu4
徭	徭	yiu4
洮	洮	yiu4
瑶	瑤	yiu4
摇	搖	yiu4
娆	嬈	yiu4
飖	颻	yiu4
饶	饒	yiu4
尧	堯	yiu4
遥	遙	yiu4
窑	窯	yiu4
鳐	鰩	yiu4
舀	舀	yiu5
耀	耀	yiu6
鹞	鷂	yiu6
曜	曜	yiu6
唷	唷	yo1
哟	喲	yo1
煜	煜	yok1
毓	毓	yok1
郁	郁	yok1
沃	沃	yok1
昱	昱	yok1
彧	彧	yok1
顼	頊	yok1
旭	旭	yok1
钰	鈺	yok6
浴	浴	yok6
辱	辱	yok6
褥	褥	yok6
蓐	蓐	yok6
狱	獄	yok6
肉	肉	yok6
欲	欲	yok6
玉	玉	yok6
欲	慾	yok6
缛	縟	yok6
鬻	鬻	yok6
育	育	yok6
峪	峪	yok6/yeu6
廱	廱	yonk1
邕	邕	yonk1
嗡	嗡	yonk1
饔	饔	yonk1
雍	雍	yonk1
翁	翁	yonk1
俑	俑	yonk2
踊	踴	yonk2
佣	佣	yonk2
拥	擁	yonk2
臃	臃	yonk2
蛹	蛹	yonk2
恿	慂	yonk2
涌	湧	yonk2
冗	冗	yonk2
鳙	鱅	yonk4
慵	慵	yonk4
溶	溶	yonk4
融	融	yonk4
茸	茸	yonk4
蓉	蓉	yonk4
佣	傭	yonk4
庸	庸	yonk4
熔	熔	yonk4
镛	鏞	yonk4
容	容	yonk4
戎	戎	yonk4
榕	榕	yonk4
绒	絨	yonk4/yonk2
勇	勇	yonk5
用	用	yonk6
润	潤	yont6
闰	閏	yont6
蕤	蕤	yoy4
蕊	蕊	yoy5
锐	銳	yoy6
裔	裔	yoy6
芮	芮	yoy6
睿	睿	yoy6
