開放粵語字典（教院拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［教院拼音］
借	借	dze3
蔗	蔗	dze3
柘	柘	dze3
這	这	dze5/dze3
謝	谢	dze6
隻	只	dzek8
鄭	郑	dzeng6/dzing6
咨	咨	dzi1
脂	脂	dzi1
支	支	dzi1
枝	枝	dzi1
姿	姿	dzi1
蜘	蜘	dzi1
滋	滋	dzi1
孜	孜	dzi1
吱	吱	dzi1
輜	辎	dzi1
肢	肢	dzi1
芝	芝	dzi1
齜	龇	dzi1
諮	谘	dzi1
之	之	dzi1
知	知	dzi1
貲	赀	dzi1
資	资	dzi1
鼒	鼒	dzi1
淄	淄	dzi1
氏	氏	dzi1
茲	兹	dzi1
指	指	dzi2
只	只	dzi2
止	止	dzi2
子	子	dzi2
紙	纸	dzi2
紫	紫	dzi2
址	址	dzi2
籽	籽	dzi2
滓	滓	dzi2
梓	梓	dzi2
咫	咫	dzi2
姊	姊	dzi2
仔	仔	dzi2
祉	祉	dzi2
酯	酯	dzi2
秭	秭	dzi2
芷	芷	dzi2
旨	旨	dzi2
趾	趾	dzi2
緻	致	dzi3
輊	轾	dzi3
致	致	dzi3
質	质	dzi3
誌	志	dzi3
志	志	dzi3
置	置	dzi3
摯	挚	dzi3
智	智	dzi3
痣	痣	dzi3
躓	踬	dzi3
至	至	dzi3
恣	恣	dzi3/tsi3
自	自	dzi6
巳	巳	dzi6
字	字	dzi6
痔	痔	dzi6
俟	俟	dzi6
治	治	dzi6
雉	雉	dzi6
稚	稚	dzi6
飼	饲	dzi6
嗣	嗣	dzi6
耜	耜	dzi6
伺	伺	dzi6
祀	祀	dzi6
豸	豸	dzi6/dzaai6
寺	寺	dzi6/dzi2
峙	峙	dzi6/tsi5
積	积	dzik7
鯽	鲫	dzik7
即	即	dzik7
職	职	dzik7
織	织	dzik7
跡	迹	dzik7
績	绩	dzik7
陟	陟	dzik7
稷	稷	dzik7
漬	渍	dzik7/dzi3
瘠	瘠	dzik8
炙	炙	dzik8/dzek8
脊	脊	dzik8/dzek8
植	植	dzik9
值	值	dzik9
席	席	dzik9
藉	藉	dzik9
殖	殖	dzik9
籍	籍	dzik9
寂	寂	dzik9
矽	矽	dzik9
汐	汐	dzik9
直	直	dzik9
夕	夕	dzik9
借	借	dzik9/dze3
藉	借	dzik9/dze3
蓆	蓆	dzik9/dzek9
詹	詹	dzim1
占	占	dzim1
瞻	瞻	dzim1
尖	尖	dzim1
譫	谵	dzim1
霑	霑	dzim1
沾	沾	dzim1
佔	占	dzim3
漸	渐	dzim6
箋	笺	dzin1
羶	膻	dzin1
氈	毡	dzin1
煎	煎	dzin1
輾	辗	dzin2
碾	碾	dzin2
剪	剪	dzin2
翦	翦	dzin2
展	展	dzin2
闡	阐	dzin2/tsin2
顫	颤	dzin3
箭	箭	dzin3
餞	饯	dzin3
薦	荐	dzin3
戰	战	dzin3
濺	溅	dzin3
賤	贱	dzin6
徵	征	dzing1
偵	侦	dzing1
怔	怔	dzing1
征	征	dzing1
貞	贞	dzing1
鉦	钲	dzing1
菁	菁	dzing1
禎	祯	dzing1
精	精	dzing1
晶	晶	dzing1
旌	旌	dzing1
癥	症	dzing1
蒸	蒸	dzing1
睛	睛	dzing1
烝	烝	dzing1
正	正	dzing1
整	整	dzing2
