開放粵語字典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［國際音標］
處	处	tsʰy:˩˧
儲	储	tsʰy:˩˧
佇	伫	tsʰy:˩˧
柱	柱	tsʰy:˩˧
曙	曙	tsʰy:˩˧
褚	褚	tsʰy:˩˧
苧	苎	tsʰy:˩˧
綽	绰	tsʰœ:k˧
卓	卓	tsʰœ:k˧
戳	戳	tsʰœ:k˧
菖	菖	tsʰœ:ŋ˥
槍	枪	tsʰœ:ŋ˥
鯧	鲳	tsʰœ:ŋ˥
娼	娼	tsʰœ:ŋ˥
倀	伥	tsʰœ:ŋ˥
鏘	锵	tsʰœ:ŋ˥
嗆	呛	tsʰœ:ŋ˥
猖	猖	tsʰœ:ŋ˥
戧	戗	tsʰœ:ŋ˥
窗	窗	tsʰœ:ŋ˥
昌	昌	tsʰœ:ŋ˥
蹌	跄	tsʰœ:ŋ˧
熗	炝	tsʰœ:ŋ˧
唱	唱	tsʰœ:ŋ˧
戧	戗	tsʰœ:ŋ˧
悵	怅	tsʰœ:ŋ˧
嗆	呛	tsʰœ:ŋ˧
暢	畅	tsʰœ:ŋ˧
倡	倡	tsʰœ:ŋ˧
搶	抢	tsʰœ:ŋ˧˥
場	场	tsʰœ:ŋ˨˩
腸	肠	tsʰœ:ŋ˨˩
翔	翔	tsʰœ:ŋ˨˩
薔	蔷	tsʰœ:ŋ˨˩
牆	墙	tsʰœ:ŋ˨˩
祥	祥	tsʰœ:ŋ˨˩
戕	戕	tsʰœ:ŋ˨˩
長	长	tsʰœ:ŋ˨˩
檣	樯	tsʰœ:ŋ˨˩
詳	详	tsʰœ:ŋ˨˩
妻	妻	tsʰɐi˥
淒	凄	tsʰɐi˥
悽	悽	tsʰɐi˥
棲	栖	tsʰɐi˥
砌	砌	tsʰɐi˧
切	切	tsʰɐi˧
沏	沏	tsʰɐi˧
齊	齐	tsʰɐi˨˩
薺	荠	tsʰɐi˨˩
惻	恻	tsʰɐk˥
測	测	tsʰɐk˥
侵	侵	tsʰɐm˥
參	参	tsʰɐm˥/tsʰa:m˥
讖	谶	tsʰɐm˧/tsʰa:m˧
磣	碜	tsʰɐm˧˥
寢	寝	tsʰɐm˧˥
鱘	鲟	tsʰɐm˨˩
沉	沉	tsʰɐm˨˩
蕁	荨	tsʰɐm˨˩
尋	寻	tsʰɐm˨˩
嗔	嗔	tsʰɐn˥
親	亲	tsʰɐn˥
瞋	瞋	tsʰɐn˥
趁	趁	tsʰɐn˧
襯	衬	tsʰɐn˧
齔	龀	tsʰɐn˧
診	诊	tsʰɐn˧˥
哂	哂	tsʰɐn˧˥
縝	缜	tsʰɐn˧˥/tsɐn˧˥
陳	陈	tsʰɐn˨˩
塵	尘	tsʰɐn˨˩
輯	辑	tsʰɐp˥
葺	葺	tsʰɐp˥
緝	缉	tsʰɐp˥
柒	柒	tsʰɐt˥
漆	漆	tsʰɐt˥
七	七	tsʰɐt˥
楸	楸	tsʰɐu˥
鰍	鳅	tsʰɐu˥
抽	抽	tsʰɐu˥
鞦	秋	tsʰɐu˥
秋	秋	tsʰɐu˥
臭	臭	tsʰɐu˧
溴	溴	tsʰɐu˧
糗	糗	tsʰɐu˧
湊	凑	tsʰɐu˧
嗅	嗅	tsʰɐu˧
醜	丑	tsʰɐu˧˥
丑	丑	tsʰɐu˧˥
惆	惆	tsʰɐu˨˩
酬	酬	tsʰɐu˨˩
綢	绸	tsʰɐu˨˩
稠	稠	tsʰɐu˨˩
疇	畴	tsʰɐu˨˩
儔	俦	tsʰɐu˨˩
仇	仇	tsʰɐu˨˩
泅	泅	tsʰɐu˨˩
籌	筹	tsʰɐu˨˩
囚	囚	tsʰɐu˨˩
遒	遒	tsʰɐu˨˩
躊	踌	tsʰɐu˨˩
層	层	tsʰɐŋ˨˩
曾	曾	tsʰɐŋ˨˩
蔡	蔡	tsʰɔ:i˧
賽	赛	tsʰɔ:i˧
菜	菜	tsʰɔ:i˧
塞	塞	tsʰɔ:i˧
采	采	tsʰɔ:i˧˥
睬	睬	tsʰɔ:i˧˥
採	采	tsʰɔ:i˧˥
綵	彩	tsʰɔ:i˧˥
彩	彩	tsʰɔ:i˧˥
財	财	tsʰɔ:i˨˩
裁	裁	tsʰɔ:i˨˩
材	材	tsʰɔ:i˨˩
才	才	tsʰɔ:i˨˩
錯	错	tsʰɔ:k˧
倉	仓	tsʰɔ:ŋ˥
傖	伧	tsʰɔ:ŋ˥
滄	沧	tsʰɔ:ŋ˥
艙	舱	tsʰɔ:ŋ˥
蒼	苍	tsʰɔ:ŋ˥
創	创	tsʰɔ:ŋ˥
瘡	疮	tsʰɔ:ŋ˥
創	创	tsʰɔ:ŋ˧
敞	敞	tsʰɔ:ŋ˧˥
廠	厂	tsʰɔ:ŋ˧˥
氅	氅	tsʰɔ:ŋ˧˥
闖	闯	tsʰɔ:ŋ˧˥
床	床	tsʰɔ:ŋ˨˩
藏	藏	tsʰɔ:ŋ˨˩
初	初	tsʰɔ:˥
搓	搓	tsʰɔ:˥
芻	刍	tsʰɔ:˥
磋	磋	tsʰɔ:˥
雛	雏	tsʰɔ:˥
挫	挫	tsʰɔ:˧
銼	锉	tsʰɔ:˧
錯	错	tsʰɔ:˧
礎	础	tsʰɔ:˧˥
楚	楚	tsʰɔ:˧˥
鋤	锄	tsʰɔ:˨˩
坐	坐	tsʰɔ:˩˧
赤	赤	tsʰɛ:k˧
尺	尺	tsʰɛ:k˧
呎	呎	tsʰɛ:k˧
奢	奢	tsʰɛ:˥
車	车	tsʰɛ:˥
扯	扯	tsʰɛ:˧˥
且	且	tsʰɛ:˧˥
輋	輋	tsʰɛ:˨˩
斜	斜	tsʰɛ:˨˩
邪	邪	tsʰɛ:˨˩
戚	戚	tsʰɪk˥
敕	敕	tsʰɪk˥
彳	彳	tsʰɪk˥
叱	叱	tsʰɪk˥
斥	斥	tsʰɪk˥
蜻	蜻	tsʰɪŋ˥
氰	氰	tsʰɪŋ˥
清	清	tsʰɪŋ˥
稱	称	tsʰɪŋ˥
鯖	鲭	tsʰɪŋ˥
蟶	蛏	tsʰɪŋ˥
青	青	tsʰɪŋ˥/tsʰɛ:ŋ˥
稱	称	tsʰɪŋ˧
秤	秤	tsʰɪŋ˧
稱	称	tsʰɪŋ˧/tsʰɐŋ˧
逞	逞	tsʰɪŋ˧˥
騁	骋	tsʰɪŋ˧˥
拯	拯	tsʰɪŋ˧˥
請	请	tsʰɪŋ˧˥/tsʰɛ:ŋ˧˥
澂	澂	tsʰɪŋ˨˩
情	情	tsʰɪŋ˨˩
程	程	tsʰɪŋ˨˩
懲	惩	tsʰɪŋ˨˩
晴	晴	tsʰɪŋ˨˩
埕	埕	tsʰɪŋ˨˩
呈	呈	tsʰɪŋ˨˩
澄	澄	tsʰɪŋ˨˩
春	春	tsʰɵn˥
蠢	蠢	tsʰɵn˧˥
馴	驯	tsʰɵn˨˩
秦	秦	tsʰɵn˨˩
巡	巡	tsʰɵn˨˩
循	循	tsʰɵn˨˩
旬	旬	tsʰɵn˨˩
嗪	嗪	tsʰɵn˨˩
螓	螓	tsʰɵn˨˩
出	出	tsʰɵt˥
齣	出	tsʰɵt˥
吹	吹	tsʰɵy˥
炊	炊	tsʰɵy˥
崔	崔	tsʰɵy˥
趨	趋	tsʰɵy˥
催	催	tsʰɵy˥
摧	摧	tsʰɵy˥
璀	璀	tsʰɵy˥/tsʰɵy˧˥
翠	翠	tsʰɵy˧
脆	脆	tsʰɵy˧
趣	趣	tsʰɵy˧
覷	觑	tsʰɵy˧
啐	啐	tsʰɵy˧
淬	淬	tsʰɵy˧/sɵy˨
焠	焠	tsʰɵy˧/sɵy˨
取	取	tsʰɵy˧˥
娶	娶	tsʰɵy˧˥
揣	揣	tsʰɵy˧˥
錘	锤	tsʰɵy˨˩
槌	槌	tsʰɵy˨˩
蜍	蜍	tsʰɵy˨˩
徐	徐	tsʰɵy˨˩
除	除	tsʰɵy˨˩
隨	随	tsʰɵy˨˩
滁	滁	tsʰɵy˨˩
隋	隋	tsʰɵy˨˩
捶	捶	tsʰɵy˨˩
蹙	蹙	tsʰʊk˥
束	束	tsʰʊk˥
矗	矗	tsʰʊk˥
搐	搐	tsʰʊk˥
畜	畜	tsʰʊk˥
簇	簇	tsʰʊk˥
蓄	蓄	tsʰʊk˥
簌	簌	tsʰʊk˥
速	速	tsʰʊk˥
亍	亍	tsʰʊk˥
齪	龊	tsʰʊk˥
蹴	蹴	tsʰʊk˥
促	促	tsʰʊk˥
觸	触	tsʰʊk˥/tsʊk˥
驄	骢	tsʰʊŋ˥
囪	囱	tsʰʊŋ˥
憧	憧	tsʰʊŋ˥
沖	冲	tsʰʊŋ˥
蔥	葱	tsʰʊŋ˥
涌	涌	tsʰʊŋ˥
聰	聪	tsʰʊŋ˥
衝	冲	tsʰʊŋ˥
忡	忡	tsʰʊŋ˥
匆	匆	tsʰʊŋ˥
充	充	tsʰʊŋ˥
樅	枞	tsʰʊŋ˥
冢	冢	tsʰʊŋ˧˥
寵	宠	tsʰʊŋ˧˥
叢	丛	tsʰʊŋ˨˩
從	从	tsʰʊŋ˨˩
重	重	tsʰʊŋ˨˩
蟲	虫	tsʰʊŋ˨˩
琮	琮	tsʰʊŋ˨˩
松	松	tsʰʊŋ˨˩
重	重	tsʰʊŋ˩˧
端	端	ty:n˥
鍛	锻	ty:n˧
煅	煅	ty:n˧
短	短	ty:n˧˥
段	段	ty:n˨
斷	断	ty:n˨
緞	缎	ty:n˨
斷	断	ty:n˨/ty:n˧
奪	夺	ty:t˨
琢	琢	tœ:k˧
斲	斫	tœ:k˧
涿	涿	tœ:k˧
啄	啄	tœ:k˧
低	低	tɐi˥
帝	帝	tɐi˧
締	缔	tɐi˧
蒂	蒂	tɐi˧
碲	碲	tɐi˧
諦	谛	tɐi˧
詆	诋	tɐi˧˥
骶	骶	tɐi˧˥
邸	邸	tɐi˧˥
柢	柢	tɐi˧˥
抵	抵	tɐi˧˥
底	底	tɐi˧˥
棣	棣	tɐi˨
悌	悌	tɐi˨
弟	弟	tɐi˨
遞	递	tɐi˨
第	第	tɐi˨
隸	隶	tɐi˨
逮	逮	tɐi˨/tɔ:i˨
德	德	tɐk˥
得	得	tɐk˥
特	特	tɐk˨
墩	墩	tɐn˧˥
燉	炖	tɐn˨
突	突	tɐt˨
凸	凸	tɐt˨
兜	兜	tɐu˥
鬥	斗	tɐu˧
斗	斗	tɐu˧˥
陡	陡	tɐu˧˥
抖	抖	tɐu˧˥
蚪	蚪	tɐu˧˥
逗	逗	tɐu˨
痘	痘	tɐu˨
竇	窦	tɐu˨
豆	豆	tɐu˨/tɐu˧˥
登	登	tɐŋ˥
燈	灯	tɐŋ˥
噔	噔	tɐŋ˥
蹬	蹬	tɐŋ˥
凳	凳	tɐŋ˧
鐙	镫	tɐŋ˧
磴	磴	tɐŋ˧
等	等	tɐŋ˧˥
鄧	邓	tɐŋ˨
瞪	瞪	tɐŋ˨/tɐŋ˥
玳	玳	tɔ:i˨
岱	岱	tɔ:i˨
黛	黛	tɔ:i˨
甙	甙	tɔ:i˨
袋	袋	tɔ:i˨
靆	叇	tɔ:i˨
代	代	tɔ:i˨
待	待	tɔ:i˨
怠	怠	tɔ:i˨/tʰɔ:i˩˧
殆	殆	tɔ:i˨/tʰɔ:i˩˧
度	度	tɔ:k˨
鐸	铎	tɔ:k˨
踱	踱	tɔ:k˨
鐺	铛	tɔ:ŋ˥
噹	当	tɔ:ŋ˥
當	当	tɔ:ŋ˥
襠	裆	tɔ:ŋ˥
當	当	tɔ:ŋ˧
檔	档	tɔ:ŋ˧
擋	挡	tɔ:ŋ˧˥
黨	党	tɔ:ŋ˧˥
碭	砀	tɔ:ŋ˨
宕	宕	tɔ:ŋ˨
菪	菪	tɔ:ŋ˨
盪	荡	tɔ:ŋ˨
蕩	荡	tɔ:ŋ˨
多	多	tɔ:˥
哆	哆	tɔ:˥
跺	跺	tɔ:˧˥
躲	躲	tɔ:˧˥
剁	剁	tɔ:˧˥/tœ:k˧
朵	朵	tɔ:˧˥/tɛ:u˧˥
惰	惰	tɔ:˨
墮	堕	tɔ:˨
馱	驮	tɔ:˨
糴	籴	tɛ:k˨
笛	笛	tɛ:k˨
爹	爹	tɛ:˥
嗲	嗲	tɛ:˧˥
滴	滴	tɪk˥
的	的	tɪk˥
嫡	嫡	tɪk˥
狄	狄	tɪk˨
迪	迪	tɪk˨
翟	翟	tɪk˨
滌	涤	tɪk˨
敵	敌	tɪk˨
汀	汀	tɪŋ˥
仃	仃	tɪŋ˥
丁	丁	tɪŋ˥
町	町	tɪŋ˥
釘	钉	tɪŋ˥/tɛ:ŋ˥
叮	叮	tɪŋ˥/tɛ:ŋ˥
盯	盯	tɪŋ˥/tɛ:ŋ˥
碇	碇	tɪŋ˧
錠	锭	tɪŋ˧/tɪŋ˨
訂	订	tɪŋ˧/tɪŋ˨
鼎	鼎	tɪŋ˧˥
頂	顶	tɪŋ˧˥
酊	酊	tɪŋ˧˥
啶	啶	tɪŋ˨
定	定	tɪŋ˨
墩	墩	tɵn˥
蹲	蹲	tɵn˥
惇	惇	tɵn˥
敦	敦	tɵn˥
頓	顿	tɵn˨
遁	遁	tɵn˨
鈍	钝	tɵn˨
沌	沌	tɵn˨
盹	盹	tɵn˨
噸	吨	tɵn˨
咄	咄	tɵt˥
堆	堆	tɵy˥
對	对	tɵy˧
兌	兑	tɵy˨
隊	队	tɵy˨
篤	笃	tʊk˥
督	督	tʊk˥
牘	牍	tʊk˨
讀	读	tʊk˨
獨	独	tʊk˨
櫝	椟	tʊk˨
瀆	渎	tʊk˨
毒	毒	tʊk˨
碡	碡	tʊk˨
髑	髑	tʊk˨
黷	黩	tʊk˨
犢	犊	tʊk˨
咚	咚	tʊŋ˥
冬	冬	tʊŋ˥
氡	氡	tʊŋ˥
東	东	tʊŋ˥
凍	冻	tʊŋ˧
棟	栋	tʊŋ˧
懂	懂	tʊŋ˧˥
董	董	tʊŋ˧˥
踵	踵	tʊŋ˧˥
慟	恸	tʊŋ˨
侗	侗	tʊŋ˨
動	动	tʊŋ˨
洞	洞	tʊŋ˨
恫	恫	tʊŋ˨
胴	胴	tʊŋ˨
汰	汰	tʰa:i˧
鈦	钛	tʰa:i˧
貸	贷	tʰa:i˧
態	态	tʰa:i˧
傣	傣	tʰa:i˧
太	太	tʰa:i˧
肽	肽	tʰa:i˧
泰	泰	tʰa:i˧
貪	贪	tʰa:m˥
探	探	tʰa:m˧
罈	坛	tʰa:m˧
毯	毯	tʰa:m˧˥
曇	昙	tʰa:m˨˩
潭	潭	tʰa:m˨˩
澹	澹	tʰa:m˨˩
痰	痰	tʰa:m˨˩
覃	覃	tʰa:m˨˩
譚	谭	tʰa:m˨˩
談	谈	tʰa:m˨˩
郯	郯	tʰa:m˨˩
淡	淡	tʰa:m˩˧
坍	坍	tʰa:n˥
攤	摊	tʰa:n˥
灘	滩	tʰa:n˥
癱	瘫	tʰa:n˥
炭	炭	tʰa:n˧
碳	碳	tʰa:n˧
歎	叹	tʰa:n˧
忐	忐	tʰa:n˧˥
袒	袒	tʰa:n˧˥
疸	疸	tʰa:n˧˥
鉭	钽	tʰa:n˧˥
坦	坦	tʰa:n˧˥
亶	亶	tʰa:n˧˥
檀	檀	tʰa:n˨˩
彈	弹	tʰa:n˨˩
壇	坛	tʰa:n˨˩
漯	漯	tʰa:p˧
塌	塌	tʰa:p˧
榻	榻	tʰa:p˧
塔	塔	tʰa:p˧
遢	遢	tʰa:p˧/tʰa:t˧
韃	鞑	tʰa:t˧
躂	跶	tʰa:t˧
撻	挞	tʰa:t˧
趿	趿	tʰa:t˧
闥	闼	tʰa:t˧
它	它	tʰa:˥
她	她	tʰa:˥
牠	它	tʰa:˥
鉈	铊	tʰa:˥
祂	他	tʰa:˥
他	他	tʰa:˥
添	添	tʰi:m˥
舔	舔	tʰi:m˧˥
恬	恬	tʰi:m˨˩
甜	甜	tʰi:m˨˩
天	天	tʰi:n˥
腆	腆	tʰi:n˧˥
闐	阗	tʰi:n˨˩
鈿	钿	tʰi:n˨˩
填	填	tʰi:n˨˩
田	田	tʰi:n˨˩
滇	滇	tʰi:n˨˩/ti:n˥
鈿	钿	tʰi:n˨˩/ti:n˨
殄	殄	tʰi:n˩˧/tʰi:m˩˧
萜	萜	tʰi:p˧
帖	帖	tʰi:p˧
貼	贴	tʰi:p˧
餮	餮	tʰi:t˧
鐵	铁	tʰi:t˧
挑	挑	tʰi:u˥
跳	跳	tʰi:u˧
眺	眺	tʰi:u˧
髫	髫	tʰi:u˨˩
迢	迢	tʰi:u˨˩
齠	龆	tʰi:u˨˩
笤	笤	tʰi:u˨˩
調	调	tʰi:u˨˩
條	条	tʰi:u˨˩
窕	窕	tʰi:u˩˧
挑	挑	tʰi:u˩˧
饕	饕	tʰou˥
滔	滔	tʰou˥
叨	叨	tʰou˥
韜	韬	tʰou˥
兔	兔	tʰou˧
套	套	tʰou˧
吐	吐	tʰou˧
討	讨	tʰou˧˥
釷	钍	tʰou˧˥
禱	祷	tʰou˧˥
土	土	tʰou˧˥
途	途	tʰou˨˩
桃	桃	tʰou˨˩
徒	徒	tʰou˨˩
淘	淘	tʰou˨˩
圖	图	tʰou˨˩
逃	逃	tʰou˨˩
塗	涂	tʰou˨˩
啕	啕	tʰou˨˩
陶	陶	tʰou˨˩
屠	屠	tʰou˨˩
荼	荼	tʰou˨˩
檮	梼	tʰou˨˩
鼗	鼗	tʰou˨˩
萄	萄	tʰou˨˩
濤	涛	tʰou˨˩
涂	涂	tʰou˨˩
掏	掏	tʰou˨˩
洮	洮	tʰou˨˩
肚	肚	tʰou˩˧
臀	臀	tʰy:n˨˩
屯	屯	tʰy:n˨˩
糰	团	tʰy:n˨˩
豚	豚	tʰy:n˨˩
團	团	tʰy:n˨˩
囤	囤	tʰy:n˨˩
斷	断	tʰy:n˩˧
脫	脱	tʰy:t˧
銻	锑	tʰɐi˥
梯	梯	tʰɐi˥
嚏	嚏	tʰɐi˧
涕	涕	tʰɐi˧
屜	屉	tʰɐi˧
剃	剃	tʰɐi˧
替	替	tʰɐi˧
體	体	tʰɐi˧˥
醍	醍	tʰɐi˨˩
蹄	蹄	tʰɐi˨˩
提	提	tʰɐi˨˩
緹	缇	tʰɐi˨˩
堤	堤	tʰɐi˨˩
題	题	tʰɐi˨˩
鵜	鹈	tʰɐi˨˩
啼	啼	tʰɐi˨˩
飩	饨	tʰɐn˥
吞	吞	tʰɐn˥
褪	褪	tʰɐn˧
偷	偷	tʰɐu˥
透	透	tʰɐu˧
頭	头	tʰɐu˨˩
投	投	tʰɐu˨˩
骰	骰	tʰɐu˨˩/sɪk˥
滕	滕	tʰɐŋ˨˩
騰	腾	tʰɐŋ˨˩
疼	疼	tʰɐŋ˨˩
藤	藤	tʰɐŋ˨˩
謄	誊	tʰɐŋ˨˩
苔	苔	tʰɔ:i˥
胎	胎	tʰɔ:i˥
枱	台	tʰɔ:i˨˩
跆	跆	tʰɔ:i˨˩
台	台	tʰɔ:i˨˩
苔	苔	tʰɔ:i˨˩
颱	台	tʰɔ:i˨˩
薹	薹	tʰɔ:i˨˩
抬	抬	tʰɔ:i˨˩
庹	庹	tʰɔ:k˧
託	托	tʰɔ:k˧
橐	橐	tʰɔ:k˧
托	托	tʰɔ:k˧
拓	拓	tʰɔ:k˧
湯	汤	tʰɔ:ŋ˥
蹚	蹚	tʰɔ:ŋ˧
燙	烫	tʰɔ:ŋ˧
趟	趟	tʰɔ:ŋ˧
熨	熨	tʰɔ:ŋ˧
淌	淌	tʰɔ:ŋ˧˥
帑	帑	tʰɔ:ŋ˧˥
儻	傥	tʰɔ:ŋ˧˥
躺	躺	tʰɔ:ŋ˧˥
倘	倘	tʰɔ:ŋ˧˥
棠	棠	tʰɔ:ŋ˨˩
膛	膛	tʰɔ:ŋ˨˩
唐	唐	tʰɔ:ŋ˨˩
螳	螳	tʰɔ:ŋ˨˩
幢	幢	tʰɔ:ŋ˨˩
堂	堂	tʰɔ:ŋ˨˩
塘	塘	tʰɔ:ŋ˨˩
溏	溏	tʰɔ:ŋ˨˩
醣	醣	tʰɔ:ŋ˨˩
糖	糖	tʰɔ:ŋ˨˩/tʰɔ:ŋ˧˥
搪	搪	tʰɔ:ŋ˨˩/tʰɔ:ŋ˩˧
拖	拖	tʰɔ:˥
唾	唾	tʰɔ:˧/tʰɛ:u˧
妥	妥	tʰɔ:˧˥
橢	椭	tʰɔ:˧˥
陀	陀	tʰɔ:˨˩
駝	驼	tʰɔ:˨˩
舵	舵	tʰɔ:˨˩
馱	驮	tʰɔ:˨˩
佗	佗	tʰɔ:˨˩
沱	沱	tʰɔ:˨˩
鴕	鸵	tʰɔ:˨˩
踢	踢	tʰɛ:k˧
忒	忒	tʰɪk˥
倜	倜	tʰɪk˥
惕	惕	tʰɪk˥
鋱	铽	tʰɪk˥
剔	剔	tʰɪk˥
忑	忑	tʰɪk˥
汀	汀	tʰɪŋ˥
烴	烃	tʰɪŋ˥
廳	厅	tʰɪŋ˥/tʰɛ:ŋ˥
聽	听	tʰɪŋ˥/tʰɛ:ŋ˥
聽	听	tʰɪŋ˧
廷	廷	tʰɪŋ˨˩
婷	婷	tʰɪŋ˨˩
停	停	tʰɪŋ˨˩
霆	霆	tʰɪŋ˨˩
亭	亭	tʰɪŋ˨˩
蜓	蜓	tʰɪŋ˨˩
庭	庭	tʰɪŋ˨˩
挺	挺	tʰɪŋ˩˧
鋌	铤	tʰɪŋ˩˧
艇	艇	tʰɪŋ˩˧/tʰɛ:ŋ˩˧
湍	湍	tʰɵn˥/tsy:n˥
彖	彖	tʰɵn˧
盾	盾	tʰɵn˩˧
推	推	tʰɵy˥
蛻	蜕	tʰɵy˧
退	退	tʰɵy˧
腿	腿	tʰɵy˧˥
頹	颓	tʰɵy˨˩
禿	秃	tʰʊk˥
通	通	tʰʊŋ˥
痛	痛	tʰʊŋ˧
捅	捅	tʰʊŋ˧˥
桶	桶	tʰʊŋ˧˥
統	统	tʰʊŋ˧˥
筒	筒	tʰʊŋ˧˥/tʰʊŋ˨˩
僮	僮	tʰʊŋ˨˩
潼	潼	tʰʊŋ˨˩
峒	峒	tʰʊŋ˨˩
衕	同	tʰʊŋ˨˩
佟	佟	tʰʊŋ˨˩
銅	铜	tʰʊŋ˨˩
酮	酮	tʰʊŋ˨˩
童	童	tʰʊŋ˨˩
彤	彤	tʰʊŋ˨˩
瞳	瞳	tʰʊŋ˨˩
同	同	tʰʊŋ˨˩
桐	桐	tʰʊŋ˨˩
歪	歪	wa:i˥
壞	坏	wa:i˨
槐	槐	wa:i˨˩
淮	淮	wa:i˨˩
懷	怀	wa:i˨˩
劃	划	wa:k˨
惑	惑	wa:k˨
畫	画	wa:k˨
或	或	wa:k˨
灣	湾	wa:n˥
彎	弯	wa:n˥
玩	玩	wa:n˧˥
綰	绾	wa:n˧˥
患	患	wa:n˨
幻	幻	wa:n˨
宦	宦	wa:n˨
還	还	wa:n˨˩
鬟	鬟	wa:n˨˩
環	环	wa:n˨˩
頑	顽	wa:n˨˩
寰	寰	wa:n˨˩
玩	玩	wa:n˨˩
輓	挽	wa:n˩˧
挽	挽	wa:n˩˧
斡	斡	wa:t˧
挖	挖	wa:t˧
猾	猾	wa:t˨
滑	滑	wa:t˨
橫	横	wa:ŋ˨
橫	横	wa:ŋ˨˩
譁	哗	wa:˥
嘩	哗	wa:˥
蛙	蛙	wa:˥
哇	哇	wa:˥
娃	娃	wa:˥
窪	洼	wa:˥
凹	凹	wa:˥
剮	剐	wa:˧˥
話	话	wa:˧˥
畫	画	wa:˧˥/wa:˨
話	话	wa:˨
華	华	wa:˨
樺	桦	wa:˨/wa:˨˩
驊	骅	wa:˨˩
華	华	wa:˨˩
划	划	wa:˨˩/wa:˥
踝	踝	wa:˩˧
偎	偎	wu:i˥
匯	汇	wu:i˨
會	会	wu:i˨
燴	烩	wu:i˨
會	会	wu:i˨/wu:i˧˥
彙	汇	wu:i˨/wɐi˨
洄	洄	wu:i˨˩
徊	徊	wu:i˨˩
回	回	wu:i˨˩
蛔	蛔	wu:i˨˩
迴	回	wu:i˨˩
會	会	wu:i˩˧
剜	剜	wu:n˥
腕	腕	wu:n˧˥
莞	莞	wu:n˧˥
碗	碗	wu:n˧˥
惋	惋	wu:n˧˥/jy:n˧˥
豌	豌	wu:n˧˥/wu:n˥
玩	玩	wu:n˧˥/wu:n˨
玩	玩	wu:n˨
換	换	wu:n˨
喚	唤	wu:n˨
瘓	痪	wu:n˨
煥	焕	wu:n˨
緩	缓	wu:n˨
奐	奂	wu:n˨
桓	桓	wu:n˨˩
垣	垣	wu:n˨˩
援	援	wu:n˨˩/jy:n˨˩
浣	浣	wu:n˩˧
皖	皖	wu:n˩˧
活	活	wu:t˨
污	污	wu:˥
烏	乌	wu:˥
惡	恶	wu:˥
鎢	钨	wu:˥
嗚	呜	wu:˥
鄔	邬	wu:˥
惡	恶	wu:˧
塢	坞	wu:˧˥
滸	浒	wu:˧˥
滬	沪	wu:˨
護	护	wu:˨
祜	祜	wu:˨
戶	户	wu:˨
互	互	wu:˨
芋	芋	wu:˨
怙	怙	wu:˨
扈	扈	wu:˨
瓠	瓠	wu:˨/wu:˨˩
餬	糊	wu:˨˩
糊	糊	wu:˨˩
湖	湖	wu:˨˩
狐	狐	wu:˨˩
蝴	蝴	wu:˨˩
瑚	瑚	wu:˨˩
煳	煳	wu:˨˩
葫	葫	wu:˨˩
鬍	胡	wu:˨˩
衚	胡	wu:˨˩
鶘	鹕	wu:˨˩
弧	弧	wu:˨˩
胡	胡	wu:˨˩
醐	醐	wu:˨˩
壺	壶	wu:˨˩
猢	猢	wu:˨˩
威	威	wɐi˥
崴	崴	wɐi˥
葳	葳	wɐi˥
逶	逶	wɐi˥
委	委	wɐi˥
喂	喂	wɐi˧
蔚	蔚	wɐi˧
慰	慰	wɐi˧
餵	喂	wɐi˧
畏	畏	wɐi˧
尉	尉	wɐi˧
穢	秽	wɐi˧
薈	荟	wɐi˧/wu:i˨
委	委	wɐi˧˥
猥	猥	wɐi˧˥
卉	卉	wɐi˧˥
毀	毁	wɐi˧˥
萎	萎	wɐi˧˥
痿	痿	wɐi˧˥
喟	喟	wɐi˧˥
惠	惠	wɐi˨
蕙	蕙	wɐi˨
渭	渭	wɐi˨
彗	彗	wɐi˨
蝟	猬	wɐi˨
為	为	wɐi˨
慧	慧	wɐi˨
胃	胃	wɐi˨
衛	卫	wɐi˨
謂	谓	wɐi˨
位	位	wɐi˨
為	为	wɐi˨˩
濰	潍	wɐi˨˩
闈	闱	wɐi˨˩
遺	遗	wɐi˨˩
維	维	wɐi˨˩
圍	围	wɐi˨˩
惟	惟	wɐi˨˩
帷	帷	wɐi˨˩
唯	唯	wɐi˨˩
桅	桅	wɐi˨˩
違	违	wɐi˨˩
緯	纬	wɐi˩˧
諱	讳	wɐi˩˧
韋	韦	wɐi˩˧
葦	苇	wɐi˩˧
瑋	玮	wɐi˩˧
偉	伟	wɐi˩˧
韙	韪	wɐi˩˧
氳	氲	wɐn˥
瘟	瘟	wɐn˥
溫	温	wɐn˥
蘊	蕴	wɐn˧
搵	揾	wɐn˧
醞	酝	wɐn˧
慍	愠	wɐn˧
穩	稳	wɐn˧˥
諢	诨	wɐn˨
鄆	郓	wɐn˨
熨	熨	wɐn˨
運	运	wɐn˨
暈	晕	wɐn˨
混	混	wɐn˨
韻	韵	wɐn˨/wɐn˩˧
芸	芸	wɐn˨˩
渾	浑	wɐn˨˩
勻	匀	wɐn˨˩
妘	妘	wɐn˨˩
餛	馄	wɐn˨˩
